17,CJ Henderson,Grant Delpit,CJ Henderson,AJ Epenesa,K'Lavon Chaisson,Javon Kinlaw,CJ Henderson,K'Lavon Chaisson,Kristian Fulton,Xavier McKinney,K'Lavon Chaisson,Xavier McKinney,Cesar Ruiz,K'Lavon Chaisson,Xavier McKinney,Jordan Love,Jordan Love
18,Austin Jackson,Austin Jackson,Josh Jones,Xavier McKinney,Josh Jones,Xavier McKinney,Justin Jefferson,Javon Kinlaw,Josh Jones,Justin Jefferson,Jedrick Wills,Kenneth Murray,Javon Kinlaw,Xavier McKinney,Josh Jones,Henry Ruggs,Josh Jones
19,Kenneth Murray,Kristian Fulton,Kenneth Murray,Kristian Fulton,Kristian Fulton,Trevon Diggs,Jordan Love,Jeff Gladney,Henry Ruggs,Trevon Diggs,Jeff Gladney,AJ Terrell,Kenneth Murray,AJ Terrell,AJ Terrell,AJ Terrell,Javon Kinlaw
20,Patrick Queen,AJ Terrell,Kristian Fulton,Trevon Diggs,Xavier McKinney,Jordan Love,Kristian Fulton,AJ Epenesa,Patrick Queen,Patrick Queen,Grant Delpit,Josh Jones,Austin Jackson,Justin Herbert,Kristian Fulton,K'Lavon Chaisson,AJ Terrell
21,Justin Jefferson,Justin Jefferson,Denzel Mims,Justin Jefferson,Justin Jefferson,Justin Jefferson,Denzel Mims,Kenneth Murray,AJ Epenesa,Kenneth Murray,Justin Jefferson,K'Lavon Chaisson,Justin Jefferson,Brandon Aiyuk,Henry Ruggs,Justin Jefferson,Ezra Cleveland
22,Denzel Mims,Tee Higgins,Jalen Reagor,AJ Terrell,Jalen Reagor,Denzel Mims,Yetur Gross-Matos,Kristian Fulton,Jalen Reagor,K'Lavon Chaisson,Kristian Fulton,Justin Jefferson,Jalen Reagor,Justin Jefferson,Jaylon Johnson,Josh Jones,Yetur Gross-Matos
23,Jordan Love,Kenneth Murray,Jordan Love,K'Lavon Chaisson,Jordan Love,AJ Epenesa,AJ Epenesa,Zack Baun,Xavier McKinney,Brandon Aiyuk,Jordan Love,AJ Epenesa,Xavier McKinney,Zack Baun,Justin Jefferson,Cesar Ruiz,Xavier McKinney
24,James Lynch,Jalen Reagor,Jonathan Taylor,Patrick Queen,Patrick Queen,Patrick Queen,Kenneth Murray,Justin Jefferson,Jordan Love,Jordan Love,AJ Epenesa,Patrick Queen,Jordan Love,Jordan Love,Tee Higgins,Patrick Queen,Kenneth Murray
25,Yetur Gross-Matos,AJ Epenesa,Austin Jackson,Tee Higgins,Jaylon Johnson,Kristian Fulton,Austin Jackson,Denzel Mims,AJ Terrell,Denzel Mims,Noah Igbinoghene,Neville Gallimore,Kristian Fulton,Jeff Gladney,K'Lavon Chaisson,Jeff Gladney,Jaylon Johnson
26,Jonathan Taylor,Xavier McKinney,Cesar Ruiz,D'Andre Swift,Austin Jackson,Josh Jones,Josh Jones,Josh Jones,Cesar Ruiz,Austin Jackson,Antoine Winfield,Ezra Cleveland,D'Andre Swift,Ezra Cleveland,Cesar Ruiz,Xavier McKinney,AJ Epenesa
27,Josh Jones,Javon Kinlaw,Xavier McKinney,Zack Baun,Ezra Cleveland,Yetur Gross-Matos,K'Lavon Chaisson,Ross Blacklock,Yetur Gross-Matos,Jeff Gladney,Ezra Cleveland,Yetur Gross-Matos,Yetur Gross-Matos,Marlon Davidson,Ezra Cleveland,Austin Jackson,Grant Delpit
28,Cole Kmet,Patrick Queen,Antoine Winfield,Kenneth Murray,Kenneth Murray,Kenneth Murray,D'Andre Swift,Cesar Ruiz,Justin Jefferson,Chase Claypool,Jonathan Taylor,Brandon Aiyuk,Patrick Queen,Patrick Queen,Kenneth Murray,Kenneth Murray,Patrick Queen
29,Ross Blacklock,Jonathan Taylor,Yetur Gross-Matos,Josh Jones,Marlon Davidson,Jeff Gladney,Jeff Gladney,Yetur Gross-Matos,Trevon Diggs,Ross Blacklock,Neville Gallimore,Jeremy Chinn,AJ Epenesa,Kristian Fulton,Jeremy Chinn,Isaiah Wilson,K'Lavon Chaisson
